Location
"[37.790735810536, -122.40196900168]"
"[37.7736941524749, -122.409658441356]"
"[37.7891192076677, -122.395881039335]"
"[37.7862510074437, -122.399520766943]"
"[37.7232598663241, -122.391172885969]"
"[37.7230565093389, -122.391111940642]"
"[37.7615022039664, -122.389276996081]"
"[37.7507607694601, -122.401540291357]"
"[37.7287554795043, -122.394408901501]"
"[37.7871762917416, -122.407398075958]"
"[37.7708922310318, -122.389169231483]"
"[37.7238788408325, -122.387010878785]"
"[37.790485146128, -122.40094044069]"
"[37.7521241631187, -122.475872322222]"
"[37.7756237711242, -122.411781357745]"
"[37.7350052991284, -122.415417409745]"
"[37.792385444513, -122.443991509437]"
"[37.7489503634271, -122.401493189708]"
"[37.7123026047444, -122.431644190373]"
"[37.7640520899242, -122.390144393988]"
"[37.7955856498634, -122.441718244288]"
"[37.7409947350024, -122.401172335386]"
"[37.7531551067155, -122.391174184456]"
"[37.7715637663341, -122.418801505439]"
"[37.7253194336755, -122.381389209427]"
"[37.7263829321822, -122.378434782668]"
"[37.7445911950917, -122.393076880858]"
"[37.7932137316634, -122.397043036718]"
"[37.7674330173312, -122.392149114172]"
"[37.726125239645, -122.383199327239]"
"[37.7101930199757, -122.455221906126]"
"[37.7763814259936, -122.406934051626]"
"[37.7739150656798, -122.420026291504]"
"[37.7476160722331, -122.401976975724]"
"[37.7631563932265, -122.420322231526]"
"[37.7441784473757, -122.386715929759]"
"[37.7875140607381, -122.399566331429]"
"[37.7251817007288, -122.388192688444]"
"[37.789691367587, -122.396595637084]"
"[37.7969137124835, -122.396650675264]"
"[37.744889286143, -122.390971976935]"
"[37.7957009053169, -122.398489753587]"
"[37.7974551567824, -122.399011222821]"
"[37.7467555544775, -122.400906270359]"
"[37.7494429376004, -122.387985532504]"
"[37.7898898782098, -122.399930411351]"
"[37.7483758257779, -122.403200626496]"
"[37.7571245603861, -122.388529515257]"
"[37.7645273058937, -122.413628336663]"
"[37.7732879404704, -122.440032316635]"
"[37.7870415558717, -122.400427155584]"
"[37.7881452832928, -122.391181920263]"
"[37.7300036831892, -122.478186325415]"
"[37.7783886157866, -122.403191783229]"
"[37.7488480565663, -122.412618994655]"
"[37.7901490737255, -122.398658184604]"
"[37.7756064329553, -122.40720707415]"
"[37.7381177715919, -122.404418467212]"
"[37.7445911950917, -122.393076880858]"
"[37.7698977488961, -122.391098279635]"
"[37.786319798284, -122.398235074249]"
"[37.7262494817986, -122.387815368014]"
"[37.7259304950399, -122.389215559421]"
"[37.7651475103788, -122.407140493701]"
"[37.7807240977697, -122.401235392658]"
"[37.7698289337018, -122.400101143043]"
"[37.7454064294164, -122.390081224847]"
"[37.7678524427181, -122.416104892532]"
"[37.7937828768391, -122.401001311993]"
"[37.788864715343, -122.399359351363]"
"[37.7550307267667, -122.384530734223]"
"[37.7260861706723, -122.398332406177]"
"[37.7776555423955, -122.410401545178]"
"[37.7579841905286, -122.433465780407]"
"[37.7327944920286, -122.391768324832]"
"[37.7862510074437, -122.399520766943]"
"[37.7555344716039, -122.393925277539]"
"[37.7936733815047, -122.398463509486]"
"[37.7429898747753, -122.386773267176]"
"[37.7383020209625, -122.396036145058]"
"[37.7192002177133, -122.395976731096]"
"[37.7533808099749, -122.386367685857]"
"[37.771467215901, -122.41287229421]"
"[37.7445185826649, -122.398940846628]"
"[37.7765668965195, -122.423395376727]"
"[37.7537174169021, -122.388359021044]"
"[37.7750297628802, -122.413686791248]"
"[37.7926023367923, -122.40043886495]"
"[37.7522416684803, -122.389188542589]"
"[37.790485146128, -122.40094044069]"
"[37.7587861623056, -122.390958398693]"
"[37.7267096753687, -122.385294691187]"
"[37.7940531837329, -122.397347693326]"
"[37.7682493867935, -122.398430650214]"
"[37.7807066695518, -122.397014692415]"
"[37.7286714428179, -122.381865088641]"
"[37.7870765303843, -122.392982624228]"
"[37.7164430021474, -122.389937879321]"
"[37.7272121739004, -122.399636251644]"
"[37.7257407538536, -122.449867611066]"
"[37.7635404839296, -122.390096643663]"
"[37.7502368847791, -122.397818031719]"
"[37.7674566391069, -122.421788343116]"
"[37.7899082332987, -122.456762533982]"
"[37.788583655156, -122.456059894366]"
"[37.7914265413321, -122.401037856688]"
"[37.7265904795194, -122.381752211406]"
"[37.7894866961278, -122.402467438004]"
"[37.760866951347, -122.407429830891]"
"[37.7617489380071, -122.435401104403]"
"[37.7272340074959, -122.38181551187]"
"[37.7632279025439, -122.419795019128]"
"[37.7227936887593, -122.391719666472]"
"[37.7763271477899, -122.391796821077]"
"[37.7267279782571, -122.388658428832]"
"[37.7525274778762, -122.409872355397]"
"[37.7726358180055, -122.415726650735]"
"[37.729438288454, -122.376657800723]"
"[37.7524049924783, -122.387000196298]"
"[0, 0]"
"[0, 0]"
"[37.7254507021723, -122.391991641418]"
"[37.7685432890242, -122.408492892439]"
"[37.7526605204123, -122.475473531781]"
"[37.7432246838616, -122.385342973421]"
"[37.7264851632165, -122.383232458707]"
"[37.7823601210175, -122.402095994563]"
"[37.7417178307439, -122.405417977448]"
"[37.7781283797338, -122.418652129997]"
"[37.7235768564887, -122.390059101399]"
"[37.7992601135023, -122.399617948655]"
"[37.7868561118831, -122.406891892997]"
"[37.7637272136329, -122.40933414879]"
"[37.7325595789318, -122.392063194969]"
"[37.7620084580302, -122.385441811568]"
"[37.7654969876192, -122.464597619571]"
"[37.7644472955619, -122.397987371508]"
"[37.780561002676, -122.392849413024]"
"[37.7467113030403, -122.392150319453]"
"[37.7477720916075, -122.397031718978]"
"[37.739111429745, -122.382464971136]"
"[37.7932137316634, -122.397043036718]"
"[37.7889322436563, -122.405512652889]"
"[37.7611829945051, -122.388118704077]"
"[37.7762350184712, -122.418435137885]"
"[37.743713475368, -122.385964790036]"
"[37.7628387070954, -122.434351868931]"
"[37.7755336414436, -122.407115289202]"
"[37.787973283216, -122.400185049889]"
"[37.7933225090245, -122.440119274474]"
"[37.7953158932065, -122.4399079176]"
"[37.7550307267667, -122.384530734223]"
"[37.7597962717227, -122.409573421624]"
"[37.7185220485664, -122.396661444417]"
"[37.7243975297434, -122.391505116383]"
"[37.7756306307592, -122.408828372369]"
"[37.7862060821039, -122.402532491346]"
"[37.727168068782, -122.390029148701]"
"[37.7875984155546, -122.404090439434]"
"[37.7632990560446, -122.388482306805]"
"[37.7437839233827, -122.40378882961]"
"[37.723078757516, -122.387525704017]"
"[37.7252957217827, -122.389765731256]"
"[37.7881394788716, -122.392579515374]"
"[37.7777909291434, -122.411000005343]"
"[37.7171741618036, -122.392222474624]"
"[37.795051430826, -122.446134422674]"
"[37.7679845948645, -122.413953822522]"
"[37.7691244121681, -122.391474911246]"
"[37.7744491107754, -122.402087236063]"
"[37.7429898747753, -122.386773267176]"
"[37.7923033830753, -122.423131922094]"
"[37.7204493626594, -122.395915014237]"
"[37.7464705066471, -122.388990808654]"
"[37.7377268665958, -122.376572914573]"
"[37.740303872806, -122.406059743494]"
"[37.7889101495704, -122.407196034122]"
"[37.7255769923986, -122.454152837668]"
"[37.7492558595291, -122.390975379577]"
"[37.7696400322177, -122.386236654199]"
"[37.7810746780754, -122.391705661167]"
"[37.7987549364009, -122.401798793854]"
"[37.7488013777145, -122.400552458785]"
"[37.7550307267667, -122.384530734223]"
"[37.7536799789675, -122.390414532294]"
"[37.7508496068125, -122.390027615501]"
"[37.7500488259704, -122.399672059709]"
"[37.7721522432444, -122.387742984116]"
"[37.7536998999438, -122.390068346908]"
"[37.7900747773418, -122.391392669926]"
"[37.7550307267667, -122.384530734223]"
"[37.7975789880604, -122.411439886089]"
"[37.7691244121681, -122.391474911246]"
"[37.7798363328837, -122.390629949741]"
"[37.7939490523224, -122.398061963646]"
"[37.7888607015573, -122.398109238807]"
"[37.7891192076677, -122.395881039335]"
"[37.7678552693543, -122.422484404162]"
"[37.7678824549751, -122.406310586005]"
"[37.779750838619, -122.397032985161]"
"[37.7743789308184, -122.399574742126]"
"[37.7867446133897, -122.397471456326]"
"[37.77425926306, -122.419485988398]"
"[37.792363514411, -122.396434007976]"
"[37.7841316511211, -122.39591339799]"
"[37.7800057026855, -122.390270961311]"
"[37.7802918205913, -122.406857977965]"
"[37.7808194869995, -122.400050152139]"
"[37.7820490943809, -122.399576873623]"
"[37.7878141077683, -122.396322298302]"
"[37.7941916764752, -122.393853704254]"
"[37.7860914634251, -122.3934729318]"
"[37.7710219992437, -122.403546254184]"
"[37.7913707416848, -122.390312812107]"
"[37.7685432890242, -122.408492892439]"
"[37.7683202495106, -122.427110643955]"
"[37.7644595214424, -122.425161376358]"
"[37.7839220701115, -122.446721633172]"
"[37.7752901423195, -122.440731162111]"
"[37.7666247727157, -122.429511176347]"
"[37.7757743684103, -122.437331607841]"
"[37.7938715071506, -122.394865238621]"
"[37.7792227593144, -122.413409061242]"
"[37.7453089086563, -122.403420059999]"
"[37.7350042289514, -122.3901724697]"
"[37.7969137124835, -122.396650675264]"
"[37.7802154802881, -122.416025770151]"
"[37.7923667868831, -122.400148306767]"
"[37.7733408773453, -122.422806203983]"
"[37.7865580501799, -122.40103337535]"
"[37.7816889753451, -122.391061817287]"
"[37.7892489084137, -122.398892959346]"
"[37.793304275561, -122.401458998413]"
"[37.788864715343, -122.399359351363]"
"[37.7638066535277, -122.412610953897]"
"[37.7853456766418, -122.399455276698]"
"[37.7933707169278, -122.394233280448]"
"[37.7926407167337, -122.398970332111]"
"[37.7569070856214, -122.390525368135]"
"[37.7530403201943, -122.386631763538]"
"[37.7938715071506, -122.394865238621]"
"[37.7665109269083, -122.40926014493]"
"[37.7932622069231, -122.401789091363]"
"[37.7516910357229, -122.394374213263]"
"[37.7547246040128, -122.388456870373]"
"[37.7875651653788, -122.40959283348]"
"[37.7749843060688, -122.40784088806]"
"[37.7988640669494, -122.400263583781]"
"[37.792609401119, -122.401314905451]"
"[37.788778723378, -122.402574568411]"
"[37.7760487080922, -122.423939211172]"
"[37.7921505484817, -122.393999974059]"
"[37.792346385148, -122.402385322794]"
"[37.7921505484817, -122.393999974059]"
"[37.7871828477154, -122.401234808851]"
"[37.760086931987, -122.418806481101]"
"[37.7909215072692, -122.400100423738]"
"[37.788864715343, -122.399359351363]"
"[37.7507607694601, -122.401540291357]"
"[37.7679955456856, -122.387549426547]"
"[37.7691244121681, -122.391474911246]"
"[37.7685432890242, -122.408492892439]"
"[37.7593037663834, -122.395902231236]"
"[37.7631563932265, -122.420322231526]"
"[37.7620084580302, -122.385441811568]"
"[37.7445911950917, -122.393076880858]"
"[37.7300036831892, -122.478186325415]"
"[37.7331423951426, -122.414568632419]"
"[37.7583033956425, -122.393514054817]"
"[37.7707029760975, -122.390790355566]"
"[37.7428202346759, -122.382847355518]"
"[37.7447521916164, -122.385679248721]"
"[37.764741322675, -122.387124812179]"
"[37.749458329027, -122.385081339678]"
"[37.7550307267667, -122.384530734223]"
"[37.740303872806, -122.406059743494]"
"[37.7454064294164, -122.390081224847]"
"[37.7533400011811, -122.384128384237]"
"[37.7653706693171, -122.403907848212]"
"[37.7464705066471, -122.388990808654]"
"[37.7488480565663, -122.412618994655]"
"[37.7381177715919, -122.404418467212]"
"[37.7611829945051, -122.388118704077]"
"[37.7783886157866, -122.403191783229]"
"[37.7674330173312, -122.392149114172]"
"[37.7524049924783, -122.387000196298]"
"[37.7477720916075, -122.397031718978]"
"[37.7531551067155, -122.391174184456]"
"[37.7674662871448, -122.390860289431]"
"[37.7644472955619, -122.397987371508]"
"[37.7571245603861, -122.388529515257]"
"[37.7682493867935, -122.398430650214]"
"[37.7484453388377, -122.38687903198]"
"[37.7871762917416, -122.407398075958]"
"[37.7864590368571, -122.405545707116]"
"[37.7839469079742, -122.407158344984]"
"[37.7539277357265, -122.413323129618]"
"[37.76621745068, -122.403952784121]"
"[37.7654597374682, -122.402136376179]"
"[37.7749754998217, -122.409385823194]"
"[37.7711790005481, -122.406573673429]"
"[37.7714019465879, -122.391771646847]"
"[37.7787103919009, -122.40183935033]"
"[37.7932137316634, -122.397043036718]"
"[37.7904067199405, -122.399275886086]"
"[37.7638580813603, -122.422082620993]"
"[37.792109338609, -122.395803865502]"
"[37.7552723597518, -122.419092971602]"
"[37.7928707497415, -122.400747494077]"
"[37.7651759170672, -122.421595922098]"
"[37.7951588416202, -122.402210795235]"
"[37.7853956394405, -122.40439104283]"
"[37.7711580369615, -122.386931257562]"
"[37.7755661544145, -122.393279842341]"
"[37.7839469079742, -122.407158344984]"
"[37.7884065526533, -122.405413735355]"
"[0, 0]"
"[37.7292233375937, -122.394613062664]"
"[37.7531390379784, -122.390246816981]"
"[37.7448024193644, -122.402540218927]"
"[37.7718682257671, -122.405657636251]"
"[37.7734452149215, -122.400482576546]"
"[37.772561689774, -122.404474024011]"
"[37.7730940844723, -122.405145856485]"
"[37.773610979516, -122.405958407112]"
"[37.7581699396153, -122.390900582667]"
"[37.7747030474687, -122.39408939657]"
"[37.7891192076677, -122.395881039335]"
"[37.7679955456856, -122.387549426547]"
"[37.7925359884311, -122.394593199235]"
"[37.7917770783642, -122.397132524462]"
"[37.7680758859527, -122.408289595287]"
"[37.7706453983908, -122.3934769372]"
"[37.7476160722331, -122.401976975724]"
"[37.7240091065402, -122.392986782578]"
"[37.7164430021474, -122.389937879321]"
"[37.7640381828174, -122.413757516589]"
"[37.7592459190261, -122.387917376991]"
"[37.7654338684827, -122.400198205294]"
"[37.7440390986017, -122.425094186331]"
"[37.7489792411554, -122.402409234561]"
"[37.749916469391, -122.401130112212]"
"[37.7658204544832, -122.411968357912]"
"[37.7567172998371, -122.387648962993]"
"[37.7599514294279, -122.414049680224]"
"[37.7638707601661, -122.460600563879]"
"[37.7638112772906, -122.391265350599]"
"[37.7655864681473, -122.393197101166]"
"[37.7434400420051, -122.399932569577]"
"[37.7456366838808, -122.454233188657]"
"[37.7763271477899, -122.391796821077]"
